Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2024-11-25 07:00:00,[ExitS rA:NaN R:34 V:1 B:0.5 M:- ST:D CH:16 CF:- MI:54 SK:18 PS:D SQ:0 LC:NaN],193.65,1000,193800,0.84,0.07,1.55,0.12,-0.06,0.00,0.84,0.08
1,Entry short,2024-11-25 06:00:00,[R001S rA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN PS:D SQ:0 LC:NaN],193.8,1000,193800,0.84,0.07,1.55,0.12,-0.06,0.00,0.84,0.08
2,Exit short,2024-11-26 13:00:00,[ExitS rA:NaN R:21 V:1.86 B:0.2 M:- ST:D CH:5 CF:- MI:17 SK:15 PS:D SQ:0 LC:NaN],192.2,1000,192700,3.12,0.25,3.83,0.31,-0.06,0.00,3.96,0.40
2,Entry short,2024-11-26 08:00:00,[R001S rA:NaN R:23 V:0.46 B:0.07 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 LC:NaN],192.7,1000,192700,3.12,0.25,3.83,0.31,-0.06,0.00,3.96,0.40
3,Exit short,2024-11-27 10:00:00,[ExitS rA:58 R:38 V:2.3 B:0.21 M:- ST:D CH:14 CF:- MI:28 SK:18 PS:D SQ:0 LC:-0.54],191.15,1000,191300,0.85,0.07,1.57,0.13,-0.06,0.00,4.82,0.48
3,Entry short,2024-11-27 08:00:00,[R001S rA:33 R:41 V:1.1 B:0.51 M:+ ST:D CH:19 CF:+ MI:56 SK:33 PS:D SQ:0 LC:-0.08],191.3,1000,191300,0.85,0.07,1.57,0.13,-0.06,0.00,4.82,0.48
4,Exit short,2024-11-29 07:00:00,[ExitS rA:34 R:36 V:0.81 B:0.21 M:- ST:D CH:29 CF:- MI:58 SK:25 PS:D SQ:0 LC:-0.04],190.35,1000,190350,-0.13,-0.01,0.6,0.05,-0.06,0.00,4.69,0.47
4,Entry short,2024-11-29 05:00:00,[R001S rA:35 R:31 V:0.47 B:0.08 M:+ ST:D CH:37 CF:- MI:50 SK:0 PS:D SQ:0 LC:-0.04],190.35,1000,190350,-0.13,-0.01,0.6,0.05,-0.06,0.00,4.69,0.47
5,Exit short,2024-12-02 09:00:00,[ExitS rA:44 R:16 V:0.76 B:0.2 M:- ST:D CH:5 CF:- MI:7 SK:15 PS:D SQ:0 LC:-0.19],188.75,1000,190050,8.55,0.67,9.28,0.73,-0.06,0.00,13.24,1.32
5,Entry short,2024-12-02 06:00:00,[R001S rA:44 R:24 V:0.41 B:0.1 M:- ST:D CH:18 CF:- MI:42 SK:0 PS:D SQ:0 LC:-0.18],190.05,1000,190050,8.55,0.67,9.28,0.73,-0.06,0.00,13.24,1.32
6,Exit long,2024-12-04 16:00:00,[ExitL rA:NaN R:60 V:0.3 B:0.56 M:- ST:U CH:26 CF:- MI:53 SK:75 PS:U SQ:0 LC:NaN],191.2,1000,191200,-0.13,-0.01,0.6,0.05,-0.06,-0.01,13.11,1.31
6,Entry long,2024-12-04 13:00:00,[R001L rA:NaN R:63 V:0.52 B:0.54 M:- ST:U CH:19 CF:- MI:40 SK:67 PS:U SQ:0 LC:NaN],191.2,1000,191200,-0.13,-0.01,0.6,0.05,-0.06,-0.01,13.11,1.31
7,Exit long,2024-12-05 07:00:00,[ExitL rA:40 R:77 V:2.69 B:0.8 M:+ ST:U CH:5 CF:+ MI:77 SK:83 PS:U SQ:0 LC:0.11],191.9,1000,191550,2.2,0.17,3.02,0.24,-0.06,0.00,15.31,1.53
7,Entry long,2024-12-05 05:00:00,[R001L rA:43 R:78 V:0.6 B:1.01 M:+ ST:U CH:8 CF:+ MI:78 SK:100 PS:U SQ:0 LC:0.15],191.55,1000,191550,2.2,0.17,3.02,0.24,-0.06,0.00,15.31,1.53
8,Exit long,2024-12-10 16:00:00,[ExitL rA:53 R:75 V:1.32 B:0.82 M:+ ST:U CH:15 CF:+ MI:76 SK:78 PS:U SQ:0 LC:0.5],193.95,1000,193750,1.19,0.09,2.19,0.17,-0.06,0.00,16.5,1.65
8,Entry long,2024-12-10 08:00:00,[R001L rA:34 R:79 V:1.08 B:0.9 M:+ ST:U CH:18 CF:+ MI:84 SK:100 PS:U SQ:0 LC:0.29],193.75,1000,193750,1.19,0.09,2.19,0.17,-0.06,0.00,16.5,1.65
9,Exit long,2024-12-11 16:00:00,[ExitL rA:57 R:62 V:1.53 B:0.72 M:- ST:U CH:33 CF:+ MI:55 SK:74 PS:U SQ:0 LC:0.52],194.4,1000,194400,-0.13,-0.01,0.62,0.05,-0.51,-0.04,16.37,1.64
9,Entry long,2024-12-11 11:00:00,[R001L rA:48 R:66 V:0.79 B:0.83 M:- ST:U CH:29 CF:+ MI:56 SK:78 PS:U SQ:0 LC:0.42],194.4,1000,194400,-0.13,-0.01,0.62,0.05,-0.51,-0.04,16.37,1.64
10,Exit short,2024-12-12 09:00:00,[ExitS rA:81 R:30 V:3.17 B:0.17 M:- ST:D CH:11 CF:+ MI:48 SK:17 PS:D SQ:0 LC:-0.65],193.35,1000,193550,1.18,0.09,1.9,0.15,-0.06,0.00,17.55,1.76
10,Entry short,2024-12-12 07:00:00,[R001S rA:38 R:29 V:0.58 B:0.12 M:+ ST:D CH:37 CF:- MI:47 SK:0 PS:D SQ:0 LC:-0.36],193.55,1000,193550,1.18,0.09,1.9,0.15,-0.06,0.00,17.55,1.76
11,Exit short,2024-12-19 15:00:00,[ExitS rA:46 R:21 V:1.67 B:0.2 M:- ST:D CH:8 CF:- MI:13 SK:15 PS:D SQ:0 LC:-0.38],196.85,1000,197600,4.64,0.37,5.42,0.43,-0.06,0.00,22.19,2.22
11,Entry short,2024-12-19 09:00:00,[R001S rA:39 R:31 V:0.87 B:0.12 M:- ST:D CH:37 CF:- MI:53 SK:0 PS:D SQ:0 LC:-0.37],197.6,1000,197600,4.64,0.37,5.42,0.43,-0.06,0.00,22.19,2.22
12,Exit long,2024-12-24 07:00:00,[ExitL rA:36 R:70 V:0.4 B:0.82 M:+ ST:U CH:5 CF:+ MI:97 SK:86 PS:U SQ:0 LC:0.23],197.4,1000,197450,-0.44,-0.04,0.26,0.02,-0.38,-0.03,21.75,2.17
12,Entry long,2024-12-24 06:00:00,[R001L rA:35 R:78 V:0.76 B:0.99 M:+ ST:U CH:5 CF:+ MI:79 SK:100 PS:U SQ:0 LC:0.27],197.45,1000,197450,-0.44,-0.04,0.26,0.02,-0.38,-0.03,21.75,2.17
13,Exit long,2024-12-26 14:00:00,[ExitL rA:37 R:68 V:0.15 B:0.8 M:+ ST:U CH:18 CF:+ MI:86 SK:82 PS:U SQ:0 LC:0.28],197.85,1000,197900,-0.44,-0.04,0,0.00,-0.38,-0.03,21.31,2.13
13,Entry long,2024-12-26 14:00:00,[R001L rA:34 R:77 V:0.8 B:0.93 M:+ ST:U CH:14 CF:+ MI:87 SK:100 PS:U SQ:0 LC:0.23],197.9,1000,197900,-0.44,-0.04,0,0.00,-0.38,-0.03,21.31,2.13
14,Exit long,2024-12-27 07:00:00,[ExitL rA:36 R:72 V:3.34 B:0.8 M:+ ST:U CH:5 CF:+ MI:71 SK:85 PS:U SQ:0 LC:0.31],198.3,1000,198250,0.19,0.02,0.89,0.07,-0.06,0.00,21.5,2.15
14,Entry long,2024-12-27 05:00:00,[R001L rA:35 R:79 V:0.56 B:0.96 M:+ ST:U CH:3 CF:+ MI:100 SK:100 PS:U SQ:0 LC:0.3],198.25,1000,198250,0.19,0.02,0.89,0.07,-0.06,0.00,21.5,2.15
15,Exit short,2024-12-30 08:00:00,[ExitS rA:63 R:17 V:3.05 B:0.2 M:- ST:D CH:5 CF:- MI:23 SK:15 PS:D SQ:0 LC:-0.5],196.8,1000,197850,6.52,0.52,7.22,0.58,-0.06,0.00,28.02,2.80
15,Entry short,2024-12-30 05:00:00,[R001S rA:41 R:22 V:0.41 B:0.05 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 LC:-0.39],197.85,1000,197850,6.52,0.52,7.22,0.58,-0.06,0.00,28.02,2.80
16,Exit short,2024-12-30 15:00:00,[ExitS rA:76 R:39 V:0.79 B:0.5 M:+ ST:D CH:29 CF:- MI:52 SK:50 PS:D SQ:0 LC:-0.67],196.9,1000,196850,-0.44,-0.04,0,0.00,-0.38,-0.03,27.58,2.76
16,Entry short,2024-12-30 15:00:00,[R001S rA:33 R:30 V:1.39 B:0.24 M:+ ST:D CH:26 CF:- MI:48 SK:25 PS:D SQ:0 LC:-0.26],196.85,1000,196850,-0.44,-0.04,0,0.00,-0.38,-0.03,27.58,2.76
17,Exit long,2025-01-01 16:00:00,[ExitL rA:41 R:69 V:1.12 B:0.82 M:+ ST:U CH:8 CF:+ MI:79 SK:85 PS:U SQ:0 LC:0.37],197.3,1000,197350,-0.44,-0.04,0.25,0.02,-0.38,-0.03,27.13,2.71
17,Entry long,2025-01-01 15:00:00,[R001L rA:33 R:77 V:0.29 B:1 M:+ ST:U CH:5 CF:+ MI:81 SK:100 PS:U SQ:0 LC:0.24],197.35,1000,197350,-0.44,-0.04,0.25,0.02,-0.38,-0.03,27.13,2.71
18,Exit short,2025-01-02 07:00:00,[ExitS rA:51 R:17 V:5.37 B:0.2 M:- ST:D CH:5 CF:- MI:46 SK:15 PS:D SQ:0 LC:-0.3],194.6,1000,195050,2.73,0.22,3.11,0.25,-0.06,0.00,29.87,2.99
18,Entry short,2025-01-02 05:00:00,[R001S rA:53 R:10 V:0.87 B:0.04 M:- ST:D CH:3 CF:- MI:31 SK:0 PS:D SQ:0 LC:-0.33],195.05,1000,195050,2.73,0.22,3.11,0.25,-0.06,0.00,29.87,2.99
19,Exit long,2025-01-06 09:00:00,[ExitL rA:36 R:72 V:1.6 B:0.8 M:+ ST:U CH:5 CF:+ MI:89 SK:85 PS:U SQ:0 LC:0.26],197.25,1000,197150,0.51,0.04,1.21,0.10,-0.06,0.00,30.38,3.04
19,Entry long,2025-01-06 08:00:00,[R001L rA:33 R:78 V:0.58 B:0.95 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 LC:0.22],197.15,1000,197150,0.51,0.04,1.21,0.10,-0.06,0.00,30.38,3.04
20,Exit short,2025-01-07 13:00:00,[ExitS rA:82 R:28 V:0.26 B:0.19 M:- ST:D CH:5 CF:- MI:2 SK:14 PS:D SQ:0 LC:-0.6],197.15,1000,197300,0.83,0.07,1.52,0.12,-0.06,0.00,31.2,3.12
20,Entry short,2025-01-07 08:00:00,[R001S rA:73 R:26 V:1.17 B:0.06 M:- ST:D CH:11 CF:- MI:15 SK:0 PS:D SQ:0 LC:-0.56],197.3,1000,197300,0.83,0.07,1.52,0.12,-0.06,0.00,31.2,3.12
21,Exit short,2025-01-08 22:00:00,[ExitS rA:43 R:26 V:2.39 B:0.2 M:- ST:D CH:5 CF:- MI:29 SK:15 PS:D SQ:0 LC:-0.39],194.85,1000,195500,3.98,0.32,4.36,0.35,-0.43,-0.03,35.19,3.52
21,Entry short,2025-01-08 17:00:00,[R001S rA:32 R:38 V:1.28 B:0.35 M:+ ST:D CH:38 CF:- MI:33 SK:0 PS:D SQ:0 LC:-0.25],195.5,1000,195500,3.98,0.32,4.36,0.35,-0.43,-0.03,35.19,3.52
22,Exit long,2025-01-09 15:00:00,[ExitL rA:45 R:62 V:0.37 B:0.82 M:+ ST:U CH:5 CF:+ MI:97 SK:81 PS:U SQ:0 LC:0.23],194.55,1000,194600,-0.44,-0.04,0.53,0.04,-0.38,-0.03,34.75,3.47
22,Entry long,2025-01-09 12:00:00,[R001L rA:37 R:69 V:0.37 B:0.99 M:+ ST:U CH:5 CF:+ MI:78 SK:100 PS:U SQ:0 LC:0.05],194.6,1000,194600,-0.44,-0.04,0.53,0.04,-0.38,-0.03,34.75,3.47
23,Exit short,2025-01-10 10:00:00,[ExitS rA:51 R:17 V:3.28 B:0.2 M:- ST:D CH:5 CF:- MI:27 SK:15 PS:D SQ:0 LC:-0.32],192.7,1000,193700,6.2,0.51,6.89,0.56,-0.06,0.00,40.95,4.09
23,Entry short,2025-01-10 06:00:00,[R001S rA:33 R:21 V:0.99 B:0.07 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 LC:-0.04],193.7,1000,193700,6.2,0.51,6.89,0.56,-0.06,0.00,40.95,4.09
24,Exit long,2025-01-13 17:00:00,[ExitL rA:36 R:83 V:4.77 B:0.8 M:+ ST:U CH:5 CF:+ MI:61 SK:85 PS:U SQ:0 LC:0.13],192.35,1000,191200,7.18,0.59,7.87,0.65,-0.06,0.00,48.12,4.81
24,Entry long,2025-01-13 07:00:00,[R001L rA:36 R:77 V:1.32 B:0.95 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 LC:0.05],191.2,1000,191200,7.18,0.59,7.87,0.65,-0.06,0.00,48.12,4.81
25,Exit long,2025-01-14 08:00:00,[ExitL rA:77 R:69 V:1.88 B:0.8 M:+ ST:U CH:5 CF:+ MI:83 SK:85 PS:U SQ:0 LC:0.67],192.6,1000,192600,-0.12,-0.01,0.57,0.05,-0.06,0.00,48,4.80
25,Entry long,2025-01-14 07:00:00,[R001L rA:33 R:76 V:0.76 B:0.95 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 LC:0.2],192.6,1000,192600,-0.12,-0.01,0.57,0.05,-0.06,0.00,48,4.80
26,Exit short,2025-01-15 12:00:00,[ExitS rA:75 R:26 V:4.11 B:0.2 M:- ST:D CH:5 CF:- MI:30 SK:18 PS:D SQ:0 LC:-0.67],191.35,1000,191550,1.14,0.09,1.98,0.16,-0.06,0.00,49.14,4.91
26,Entry short,2025-01-15 08:00:00,[R001S rA:32 R:24 V:0.72 B:0.03 M:- ST:D CH:3 CF:- MI:0 SK:0 PS:D SQ:0 LC:-0.19],191.55,1000,191550,1.14,0.09,1.98,0.16,-0.06,0.00,49.14,4.91
27,Exit long,2025-01-20 10:00:00,[ExitL rA:39 R:77 V:6.54 B:0.8 M:+ ST:U CH:5 CF:+ MI:43 SK:85 PS:U SQ:0 LC:0.16],191.45,1000,191050,2.44,0.20,2.82,0.23,-0.06,0.00,51.58,5.16
27,Entry long,2025-01-20 05:00:00,[R001L rA:35 R:78 V:0.83 B:0.98 M:+ ST:U CH:3 CF:- MI:83 SK:100 PS:U SQ:0 LC:0.05],191.05,1000,191050,2.44,0.20,2.82,0.23,-0.06,0.00,51.58,5.16
28,Exit long,2025-01-21 16:00:00,[ExitL rA:53 R:78 V:1.16 B:0.8 M:+ ST:U CH:8 CF:+ MI:92 SK:85 PS:U SQ:0 LC:0.42],192.05,1000,191500,3.41,0.28,4.12,0.33,-0.06,0.00,54.99,5.50
28,Entry long,2025-01-21 08:00:00,[R001L rA:33 R:74 V:0.53 B:0.98 M:+ ST:U CH:3 CF:+ MI:95 SK:100 PS:U SQ:0 LC:0.22],191.5,1000,191500,3.41,0.28,4.12,0.33,-0.06,0.00,54.99,5.50
29,Exit long,2025-01-22 13:00:00,[ExitL rA:59 R:71 V:3.98 B:0.81 M:+ ST:U CH:23 CF:+ MI:45 SK:73 PS:U SQ:0 LC:0.56],192.85,1000,192800,0.2,0.02,1.08,0.09,-0.06,0.00,55.19,5.52
29,Entry long,2025-01-22 08:00:00,[R001L rA:32 R:77 V:0.32 B:0.91 M:+ ST:U CH:18 CF:+ MI:67 SK:100 PS:U SQ:0 LC:0.16],192.8,1000,192800,0.2,0.02,1.08,0.09,-0.06,0.00,55.19,5.52
30,Exit short,2025-01-27 10:00:00,[ExitS rA:45 R:37 V:1.65 B:0.27 M:- ST:D CH:18 CF:+ MI:57 SK:20 PS:D SQ:0 LC:-0.3],192.55,1000,192650,0.52,0.04,1.22,0.10,-0.06,0.00,55.71,5.57
30,Entry short,2025-01-27 07:00:00,[R001S rA:33 R:37 V:0.64 B:0.46 M:+ ST:D CH:19 CF:+ MI:83 SK:33 PS:D SQ:0 LC:-0.09],192.65,1000,192650,0.52,0.04,1.22,0.10,-0.06,0.00,55.71,5.57
31,Exit short,2025-01-29 08:00:00,[ExitS rA:37 R:29 V:2.32 B:0.18 M:- ST:D CH:10 CF:- MI:15 SK:15 PS:D SQ:0 LC:-0.12],192.7,1000,192650,-0.45,-0.04,0.26,0.02,-0.38,-0.03,55.26,5.53
31,Entry short,2025-01-29 06:00:00,[R001S rA:38 R:21 V:1.08 B:0.02 M:- ST:D CH:7 CF:- MI:2 SK:0 PS:D SQ:0 LC:-0.15],192.65,1000,192650,-0.45,-0.04,0.26,0.02,-0.38,-0.03,55.26,5.53
32,Exit short,2025-01-30 16:00:00,[ExitS rA:38 R:30 V:1.04 B:0.19 M:- ST:D CH:5 CF:- MI:8 SK:15 PS:D SQ:0 LC:-0.35],191.55,1000,191500,-0.45,-0.04,0.26,0.02,-0.39,-0.03,54.81,5.48
32,Entry short,2025-01-30 15:00:00,[R001S rA:34 R:22 V:0.14 B:0.04 M:- ST:D CH:3 CF:- MI:0 SK:0 PS:D SQ:0 LC:-0.3],191.5,1000,191500,-0.45,-0.04,0.26,0.02,-0.39,-0.03,54.81,5.48
33,Exit long,2025-01-31 10:00:00,[ExitL rA:59 R:74 V:2.24 B:0.8 M:+ ST:U CH:5 CF:+ MI:82 SK:85 PS:U SQ:0 LC:0.36],192.7,1000,192550,0.85,0.07,1.56,0.12,-0.06,0.00,55.66,5.57
33,Entry long,2025-01-31 08:00:00,[R001L rA:57 R:79 V:0.9 B:0.92 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 LC:0.33],192.55,1000,192550,0.85,0.07,1.56,0.12,-0.06,0.00,55.66,5.57
34,Exit long,2025-02-03 08:00:00,[ExitL rA:45 R:78 V:1.76 B:0.8 M:+ ST:U CH:5 CF:+ MI:85 SK:85 PS:U SQ:0 LC:0.36],191.95,1000,191500,2.78,0.22,3.48,0.28,-0.06,0.00,58.44,5.84
34,Entry long,2025-02-03 07:00:00,[R001L rA:33 R:77 V:0.68 B:1.02 M:+ ST:U CH:8 CF:+ MI:54 SK:100 PS:U SQ:0 LC:0.17],191.5,1000,191500,2.78,0.22,3.48,0.28,-0.06,0.00,58.44,5.84
35,Exit long,2025-02-03 17:00:00,[ExitL rA:55 R:80 V:1.95 B:0.8 M:+ ST:U CH:5 CF:+ MI:82 SK:85 PS:U SQ:0 LC:0.5],192.95,1000,192200,4.72,0.38,5.43,0.44,-0.06,0.00,63.16,6.32
35,Entry long,2025-02-03 13:00:00,[R001L rA:32 R:73 V:0.25 B:0.99 M:+ ST:U CH:16 CF:- MI:60 SK:100 PS:U SQ:0 LC:0.3],192.2,1000,192200,4.72,0.38,5.43,0.44,-0.06,0.00,63.16,6.32
